/* Noise measurement performed with PAQS - v2.8.4
/* Acquired at 14:55:14 on 17.2.2023
/* Frequency [Hz]	 Spectral power density [V/sqrt(Hz)]
2518.3	0.000154379
2521.28	0.00015008
2524.26	0.000157805
2527.24	0.000156494
2530.22	0.000155246
2533.2	0.000156499
2536.18	0.000155998
2539.16	0.000158032
2542.14	0.000164526
2545.12	0.000151202
2548.1	0.00016168
2551.08	0.000154988
2554.06	0.000159464
2557.04	0.00015154
2560.02	0.000159002
2563	0.000163305
2565.98	0.000162173
2568.96	0.000151873
2571.94	0.000150937
2574.92	0.000155519
2577.9	0.000154113
2580.88	0.000158477
2583.86	0.000158898
2586.84	0.000155338
2589.82	0.000156359
2592.8	0.000153428
2595.78	0.000158322
2598.76	0.000155145
2601.74	0.000161685
2604.72	0.000160895
2607.7	0.0001548
2610.68	0.00016203
2613.66	0.000164047
2616.64	0.000154826
2619.62	0.000156919
2622.6	0.000153449
2625.58	0.000158215
2628.56	0.000149943
2631.55	0.000160349
2634.53	0.000155095
2637.51	0.000160634
2640.49	0.000158053
2643.47	0.000155578
2646.45	0.000152204
2649.43	0.000163876
2652.41	0.00015563
2655.39	0.000154911
2658.37	0.000157441
2661.35	0.000156854
2664.33	0.000151175
2667.31	0.000149445
2670.29	0.000157372
2673.27	0.000157991
2676.25	0.000163195
2679.23	0.000157103
2682.21	0.000153982
2685.19	0.000156255
2688.17	0.000156303
2691.15	0.000151777
2694.13	0.00015752
2697.11	0.000154857
2700.09	0.000152221
2703.07	0.000152874
2706.05	0.000154178
2709.03	0.000152573
2712.01	0.000155328
2714.99	0.000152619
2717.97	0.000157216
2720.95	0.000158447
2723.93	0.000155717
2726.91	0.000149819
2729.89	0.000161529
2732.87	0.00014934
2735.85	0.000149239
2738.83	0.000156515
2741.81	0.000155833
2744.79	0.000160747
2747.77	0.000158694
2750.75	0.000163471
2753.73	0.000150671
2756.71	0.00015626
2759.7	0.000150704
2762.68	0.000160907
2765.66	0.00016047
2768.64	0.000156758
2771.62	0.000160527
2774.6	0.000153396
2777.58	0.000154285
2780.56	0.000154679
2783.54	0.000158302
2786.52	0.000152204
2789.5	0.000160433
2792.48	0.000156328
2795.46	0.000155687
2798.44	0.000159977
2801.42	0.000153239
2804.4	0.000152227
2807.38	0.000156199
2810.36	0.00015498
2813.34	0.000155006
2816.32	0.000157231
2819.3	0.000152957
2822.28	0.00015466
2825.26	0.000160471
2828.24	0.000162476
2831.22	0.000158043
2834.2	0.000161086
2837.18	0.000153067
2840.16	0.000156988
2843.14	0.000155819
2846.12	0.000157308
2849.1	0.000158781
2852.08	0.000159031
2855.06	0.000160113
2858.04	0.00016102
2861.02	0.000154084
2864	0.000166343
2866.98	0.00015027
2869.96	0.000155126
2872.94	0.000158055
2875.92	0.000159888
2878.9	0.000163088
2881.88	0.000155888
2884.86	0.000154301
2887.84	0.000155604
2890.83	0.000160122
2893.81	0.000157957
2896.79	0.000157872
2899.77	0.000161175
2902.75	0.000148457
2905.73	0.000152909
2908.71	0.000155411
2911.69	0.00015417
2914.67	0.000160263
2917.65	0.000159153
2920.63	0.000151503
2923.61	0.000154766
2926.59	0.000150749
2929.57	0.000155231
2932.55	0.000161602
2935.53	0.000152868
2938.51	0.000161759
2941.49	0.000157342
2944.47	0.000155077
2947.45	0.000155111
2950.43	0.000153886
2953.41	0.00015531
2956.39	0.000157482
2959.37	0.000155226
2962.35	0.00016049
2965.33	0.000163145
2968.31	0.00015577
2971.29	0.000152659
2974.27	0.000160719
2977.25	0.000155786
2980.23	0.00015171
2983.21	0.000161869
2986.19	0.000156525
2989.17	0.000153865
2992.15	0.000153093
2995.13	0.000155256
2998.11	0.000154648
3001.09	0.000160311
3004.07	0.00015463
3007.05	0.000153967
3010.03	0.000160022
3013.01	0.000157904
3016	0.000155211
3018.98	0.000154498
3021.96	0.000154401
3024.94	0.000163959
3027.92	0.000154086
3030.9	0.000154271
3033.88	0.000153685
3036.86	0.000158521
3039.84	0.00016395
3042.82	0.000156053
3045.8	0.000153534
3048.78	0.000153865
3051.76	0.000158763
3054.74	0.000152142
3057.72	0.000158745
3060.7	0.000164556
3063.68	0.000155879
3066.66	0.000149933
3069.64	0.000151763
3072.62	0.000157256
3075.6	0.000157575
3078.58	0.000160896
3081.56	0.000154482
3084.54	0.000156897
3087.52	0.000157145
3090.5	0.000152614
3093.48	0.000161031
3096.46	0.000154568
3099.44	0.000156045
3102.42	0.000151865
3105.4	0.000157203
3108.38	0.000159601
3111.36	0.000159089
3114.34	0.000159869
3117.32	0.000152798
3120.3	0.000151837
3123.28	0.000158182
3126.26	0.000153311
3129.24	0.000152897
3132.22	0.000157621
3135.2	0.000156742
3138.18	0.000154127
3141.16	0.000156996
3144.15	0.000153147
3147.13	0.000163761
3150.11	0.000153817
3153.09	0.000158129
3156.07	0.00016082
3159.05	0.000155726
3162.03	0.00015823
3165.01	0.000160787
3167.99	0.000154896
3170.97	0.000149948
3173.95	0.000151588
3176.93	0.000156591
3179.91	0.000152502
3182.89	0.000158953
3185.87	0.00016417
3188.85	0.000161276
3191.83	0.000161852
3194.81	0.000157231
3197.79	0.000157391
3200.77	0.000163547
3203.75	0.000157224
3206.73	0.000152302
3209.71	0.000159154
3212.69	0.000158643
3215.67	0.000151468
3218.65	0.000151209
3221.63	0.000158708
3224.61	0.000151307
3227.59	0.000151537
3230.57	0.000157004
3233.55	0.000153374
3236.53	0.000154795
3239.51	0.00015812
3242.49	0.000154991
3245.47	0.000162947
3248.45	0.000159097
3251.43	0.00015156
3254.41	0.000156789
3257.39	0.000153414
3260.37	0.000155658
3263.35	0.000157591
3266.33	0.000159184
3269.31	0.000151755
3272.29	0.000159401
3275.28	0.000157142
3278.26	0.000160278
3281.24	0.000155723
3284.22	0.000163099
3287.2	0.000158702
3290.18	0.000154425
