/* Noise measurement performed with PAQS - v2.9.2
/* ADC channel 3
/* Calculated as sqrt(averaged PSD) over 500 averaged noise traces
/* Acquired at 18:42:41 on 17.2.2023
/* Frequency [Hz]	 Power spectral density [Vrms/sqrt(Hz)]
21171.6	0.000122178
21219.3	0.000118955
21266.9	0.00011911
21314.6	0.000120205
21362.3	0.000119052
21410	0.000115565
21457.7	0.000119699
21505.4	0.000115553
21553	0.000115718
21600.7	0.000119384
21648.4	0.000113588
21696.1	0.00011203
21743.8	0.000116771
21791.5	0.000117993
21839.1	0.000118359
21886.8	0.000121203
21934.5	0.000122128
21982.2	0.000119228
22029.9	0.000118052
22077.6	0.000116433
22125.2	0.000118817
22172.9	0.000116428
22220.6	0.000118746
22268.3	0.000111892
22316	0.000115909
22363.7	0.000114183
22411.3	0.00011503
22459	0.000121522
22506.7	0.000118126
22554.4	0.000117483
22602.1	0.000118084
22649.8	0.000118048
22697.4	0.000122547
22745.1	0.000115697
22792.8	0.000113287
22840.5	0.000121857
22888.2	0.000114952
22935.9	0.000122197
22983.6	0.000117515
23031.2	0.000112564
23078.9	0.000115842
23126.6	0.000115487
23174.3	0.000116676
23222	0.00011655
23269.7	0.000122471
23317.3	0.000118828
23365	0.000119254
23412.7	0.000117972
23460.4	0.000114103
23508.1	0.000116843
23555.8	0.000113539
23603.4	0.000114856
23651.1	0.00011321
23698.8	0.000114932
23746.5	0.000113996
23794.2	0.000115874
23841.9	0.000118655
23889.5	0.000112791
23937.2	0.000116718
23984.9	0.000119145
24032.6	0.000112622
24080.3	0.000117074
24128	0.000114877
24175.6	0.000116252
24223.3	0.000113871
24271	0.000114964
24318.7	0.000115676
24366.4	0.000117497
24414.1	0.000112266
24461.7	0.000111166
24509.4	0.000118357
24557.1	0.000115397
24604.8	0.000116135
24652.5	0.000112545
24700.2	0.00011685
24747.8	0.000117313
24795.5	0.000115351
24843.2	0.000114691
24890.9	0.000114051
24938.6	0.000114391
24986.3	0.000116801
25034	0.000114448
25081.6	0.000112611
25129.3	0.000119582
25177	0.00011397
25224.7	0.000115917
25272.4	0.000111397
25320.1	0.000119032
25367.7	0.00011056
25415.4	0.000112506
25463.1	0.000115987
25510.8	0.000111452
25558.5	0.000116427
25606.2	0.000113199
25653.8	0.000115476
25701.5	0.000112184
25749.2	0.00011416
25796.9	0.000115743
25844.6	0.000110136
25892.3	0.000109395
25939.9	0.000113229
25987.6	0.000113885
26035.3	0.000110919
26083	0.000118712
26130.7	0.000112944
26178.4	0.000113448
26226	0.000115942
26273.7	0.000110536
26321.4	0.000111859
26369.1	0.000110409
26416.8	0.000114212
26464.5	0.00011463
26512.1	0.00011715
26559.8	0.000116727
26607.5	0.000109046
26655.2	0.000111245
26702.9	0.000113056
26750.6	0.000111736
26798.2	0.000114233
26845.9	0.000115117
26893.6	0.00011498
26941.3	0.000117671
26989	0.000112004
27036.7	0.000113998
27084.4	0.000114975
27132	0.000112661
27179.7	0.000111734
27227.4	0.000112827
27275.1	0.000112249
27322.8	0.0001145
27370.5	0.000112305
27418.1	0.000114129
27465.8	0.000113004
27513.5	0.000114675
27561.2	0.000110938
27608.9	0.000110424
27656.6	0.000110238
27704.2	0.000111453
27751.9	0.000114607
27799.6	0.000112507
27847.3	0.000109456
27895	0.000111421
27942.7	0.000109241
27990.3	0.000111589
28038	0.000114549
28085.7	0.000112776
28133.4	0.00011168
28181.1	0.000111383
28228.8	0.000117598
28276.4	0.000114002
28324.1	0.00011068
28371.8	0.000114361
28419.5	0.000115904
28467.2	0.00011233
28514.9	0.000112341
28562.5	0.000113493
28610.2	0.000109813
28657.9	0.000113662
28705.6	0.000113201
28753.3	0.000107702
28801	0.000108132
28848.6	0.000112424
28896.3	0.000111093
28944	0.000111171
28991.7	0.000111021
29039.4	0.000107642
29087.1	0.000111074
29134.8	0.000110639
29182.4	0.000114392
29230.1	0.000111118
29277.8	0.000111086
29325.5	0.000114063
29373.2	0.000106695
29420.9	0.000111069
29468.5	0.000112612
29516.2	0.000112995
29563.9	0.000111748
29611.6	0.000108711
29659.3	0.00011042
29707	0.000113079
29754.6	0.00011596
29802.3	0.000109988
29850	0.000114569
29897.7	0.000112143
29945.4	0.000106937
29993.1	0.000108919
30040.7	0.000110972
30088.4	0.0001127
30136.1	0.000108856
30183.8	0.000110479
30231.5	0.000108622
30279.2	0.000107704
30326.8	0.000111084
30374.5	0.000114255
30422.2	0.000108009
30469.9	0.000113091
30517.6	0.000109969
30565.3	0.000110392
30612.9	0.000108937
30660.6	0.000109996
30708.3	0.000111207
30756	0.000108532
30803.7	0.000106655
30851.4	0.000107751
30899	0.000109807
30946.7	0.000111294
30994.4	0.000108319
31042.1	0.000110062
31089.8	0.00011195
31137.5	0.000111344
31185.2	0.000102468
31232.8	0.000109112
31280.5	0.000110601
31328.2	0.000104947
31375.9	0.000112466
31423.6	0.000107393
31471.3	0.000110355
31518.9	0.000107435
31566.6	0.000109849
31614.3	0.000107848
31662	0.000112839
31709.7	0.000106742
31757.4	0.00010482
31805	0.000107775
31852.7	0.000106651
31900.4	0.000107998
31948.1	0.000105532
31995.8	0.000109695
32043.5	0.000105438
32091.1	0.000111022
32138.8	0.000112222
32186.5	0.00010517
32234.2	0.000108973
32281.9	0.000109247
32329.6	0.000108183
32377.2	0.000109464
32424.9	0.000109073
32472.6	0.000106878
32520.3	0.000107039
32568	0.000108096
32615.7	0.000107727
32663.3	0.0001077
32711	0.000102283
32758.7	0.000105368
32806.4	0.000105933
32854.1	0.000101548
32901.8	0.000107003
32949.4	0.000102331
32997.1	0.000107712
33044.8	0.000109025
33092.5	0.000108368
33140.2	0.000103002
33187.9	0.00010614
33235.6	0.000106852
33283.2	0.000106519
33330.9	0.000104055
33378.6	0.000108517
33426.3	0.000110996
33474	0.000106326
33521.7	0.00010998
33569.3	0.000108117
33617	0.000111213
33664.7	0.0001058
33712.4	0.000108142
33760.1	0.00010926
33807.8	0.000106881
33855.4	0.000105787
