/* Noise measurement performed with PAQS - v2.9.2
/* ADC channel 3
/* Calculated as sqrt(averaged PSD) over 90 averaged noise traces
/* Acquired at 18:37:46 on 17.2.2023
/* Frequency [Hz]	 Power spectral density [Vrms/sqrt(Hz)]
1.07765e+006	6.9275e-006
1.07956e+006	6.01754e-006
1.08147e+006	7.32733e-006
1.08337e+006	6.38707e-006
1.08528e+006	6.67553e-006
1.08719e+006	6.99245e-006
1.0891e+006	6.7981e-006
1.091e+006	6.63356e-006
1.09291e+006	6.98396e-006
1.09482e+006	6.63688e-006
1.09673e+006	6.70263e-006
1.09863e+006	6.13563e-006
1.10054e+006	6.24181e-006
1.10245e+006	6.52551e-006
1.10435e+006	6.75863e-006
1.10626e+006	6.81038e-006
1.10817e+006	7.3379e-006
1.11008e+006	6.33497e-006
1.11198e+006	6.61539e-006
1.11389e+006	6.43186e-006
1.1158e+006	6.17962e-006
1.11771e+006	6.4675e-006
1.11961e+006	6.32777e-006
1.12152e+006	6.44713e-006
1.12343e+006	5.97963e-006
1.12534e+006	6.01185e-006
1.12724e+006	6.90519e-006
1.12915e+006	6.53608e-006
1.13106e+006	6.36638e-006
1.13297e+006	6.55542e-006
1.13487e+006	6.63208e-006
1.13678e+006	6.01081e-006
1.13869e+006	6.64394e-006
1.14059e+006	6.74059e-006
1.1425e+006	6.43828e-006
1.14441e+006	6.34684e-006
1.14632e+006	6.57812e-006
1.14822e+006	6.41181e-006
1.15013e+006	5.86006e-006
1.15204e+006	6.16758e-006
1.15395e+006	6.62527e-006
1.15585e+006	6.66184e-006
1.15776e+006	5.92913e-006
1.15967e+006	6.17527e-006
1.16158e+006	6.1017e-006
1.16348e+006	6.14454e-006
1.16539e+006	6.39871e-006
1.1673e+006	5.78242e-006
1.1692e+006	6.24629e-006
1.17111e+006	6.43471e-006
1.17302e+006	6.19553e-006
1.17493e+006	6.12711e-006
1.17683e+006	6.37442e-006
1.17874e+006	6.55486e-006
1.18065e+006	6.22391e-006
1.18256e+006	6.09563e-006
1.18446e+006	6.00118e-006
1.18637e+006	5.9976e-006
1.18828e+006	6.59706e-006
1.19019e+006	6.0088e-006
1.19209e+006	6.3856e-006
1.194e+006	6.31414e-006
1.19591e+006	6.20215e-006
1.19782e+006	6.21719e-006
1.19972e+006	5.96584e-006
1.20163e+006	6.53478e-006
1.20354e+006	6.32314e-006
1.20544e+006	6.84243e-006
1.20735e+006	5.72048e-006
1.20926e+006	5.87312e-006
1.21117e+006	6.07817e-006
1.21307e+006	5.72339e-006
1.21498e+006	6.84353e-006
1.21689e+006	6.4387e-006
1.2188e+006	5.56153e-006
1.2207e+006	6.33718e-006
1.22261e+006	6.37268e-006
1.22452e+006	6.12395e-006
1.22643e+006	6.03421e-006
1.22833e+006	6.04519e-006
1.23024e+006	6.67401e-006
1.23215e+006	5.94165e-006
1.23405e+006	6.36728e-006
1.23596e+006	5.72554e-006
1.23787e+006	5.8737e-006
1.23978e+006	6.12138e-006
1.24168e+006	6.22739e-006
1.24359e+006	5.71029e-006
1.2455e+006	5.81767e-006
1.24741e+006	5.96998e-006
